time,lat,long,z,magn
2011-04-06,41.772760,-87.576629,2,4.5
2011-04-06,41.755077,-87.566151,2,4.5
2011-04-06,41.756634,-87.562832,2,4.5
2011-04-06,41.759451,-87.563302,2,4.5
2011-04-07,41.842073,-87.651759,2,4.5
2011-04-07,41.759452,-87.632229,2,4.5
2011-04-07,41.767777,-87.621904,2,4.5
2011-04-07,41.768542,-87.620336,2,4.5
2011-04-07,41.815911,-87.601686,2,4.5
2011-04-07,41.774164,-87.596206,2,4.5
2011-04-07,41.780664,-87.593450,2,4.5
2011-04-07,41.760677,-87.588142,2,4.5
2011-04-07,41.773205,-87.581266,2,4.5
2011-04-07,41.752183,-87.572187,2,4.5
2011-04-07,41.759199,-87.572298,2,4.5
2011-04-08,41.797433,-87.634155,2,4.5
2011-04-08,41.797691,-87.633219,2,4.5
2011-04-08,41.789445,-87.624099,2,4.5
2011-04-08,41.772753,-87.621098,2,4.5
2011-04-08,41.770849,-87.616857,2,4.5
2011-04-08,41.781789,-87.615806,2,4.5
2011-04-08,41.801188,-87.616281,2,4.5
2011-04-08,41.771203,-87.576290,2,4.5
2011-04-08,41.755304,-87.562099,2,4.5
2011-04-09,41.794218,-87.624314,2,4.5
2011-04-09,41.819274,-87.622956,2,4.5
2011-04-09,41.765152,-87.614192,2,4.5
2011-04-09,41.751999,-87.602917,2,4.5
2011-04-09,41.753220,-87.577393,2,4.5
2011-04-09,41.758427,-87.555162,2,4.5
2011-04-10,41.769786,-87.616822,2,4.5
2011-04-10,41.778961,-87.615743,2,4.5
2011-04-10,41.799091,-87.604068,2,4.5
2011-04-10,41.808131,-87.602925,2,4.5
2011-04-10,41.808131,-87.602925,2,4.5
2011-04-10,41.776033,-87.597173,2,4.5
2011-04-10,41.802104,-87.589291,2,4.5
2011-04-10,41.776858,-87.587375,2,4.5
2011-04-10,41.796221,-87.582412,2,4.5
2011-04-11,41.754322,-87.634741,2,4.5
2011-04-11,41.759538,-87.629788,2,4.5
2011-04-11,41.838260,-87.621394,2,4.5
2011-04-11,41.797956,-87.617538,2,4.5
2011-04-11,41.777637,-87.615694,2,4.5
2011-04-11,41.808814,-87.601535,2,4.5
2011-04-11,41.772809,-87.581262,2,4.5
2011-04-11,41.766172,-87.562892,2,4.5
2011-04-11,41.757613,-87.557753,2,4.5
2011-04-12,41.763144,-87.595298,2,4.5
2011-04-12,41.770050,-87.583619,2,4.5
2011-04-12,41.753725,-87.570072,2,4.5
2011-04-12,41.771928,-87.570077,2,4.5
2011-04-12,41.759451,-87.563302,2,4.5
2011-04-12,41.753509,-87.560784,2,4.5
2011-04-12,41.755536,-87.560826,2,4.5
2011-04-12,41.761108,-87.559624,2,4.5
2011-04-13,41.787287,-87.623525,2,4.5
2011-04-13,41.829720,-87.618228,2,4.5
2011-04-13,41.769099,-87.568367,2,4.5
2011-04-13,41.762246,-87.566298,2,4.5
2011-04-14,41.752995,-87.636941,2,4.5
2011-04-14,41.769100,-87.622158,2,4.5
2011-04-14,41.825010,-87.623253,2,4.5
2011-04-14,41.798564,-87.616677,2,4.5
2011-04-14,41.812350,-87.614052,2,4.5
2011-04-14,41.785064,-87.613118,2,4.5
2011-04-14,41.805512,-87.612735,2,4.5
2011-04-15,41.826072,-87.625009,2,4.5
2011-04-15,41.823903,-87.619750,2,4.5
2011-04-15,41.808751,-87.610045,2,4.5
2011-04-15,41.813737,-87.603844,2,4.5
2011-04-15,41.769120,-87.589386,2,4.5
2011-04-15,41.757238,-87.580857,2,4.5
2011-04-15,41.764382,-87.582208,2,4.5
2011-04-15,41.767457,-87.572528,2,4.5
2011-04-15,41.754595,-87.568877,2,4.5
2011-04-15,41.757099,-87.563498,2,4.5
2011-04-15,41.757894,-87.562855,2,4.5
2011-04-15,41.763984,-87.562692,2,4.5
2011-04-15,41.754771,-87.558654,2,4.5
2011-04-16,41.790185,-87.622193,2,4.5
2011-04-16,41.812275,-87.621444,2,4.5
2011-04-16,41.786537,-87.618872,2,4.5
2011-04-16,41.774532,-87.599867,2,4.5
2011-04-16,41.768335,-87.591207,2,4.5
2011-04-16,41.770812,-87.591266,2,4.5
2011-04-16,41.776849,-87.587435,2,4.5
2011-04-16,41.773273,-87.582144,2,4.5
2011-04-16,41.761178,-87.576321,2,4.5
2011-04-16,41.769278,-87.574084,2,4.5
2011-04-16,41.753656,-87.565777,2,4.5
2011-04-17,41.838786,-87.638839,2,4.5
2011-04-17,41.788312,-87.622151,2,4.5
2011-04-17,41.762603,-87.609295,2,4.5
2011-04-17,41.764055,-87.595017,2,4.5
2011-04-17,41.781171,-87.594514,2,4.5
2011-04-17,41.758834,-87.590927,2,4.5
2011-04-17,41.766928,-87.588066,2,4.5
2011-04-17,41.770902,-87.582424,2,4.5
2011-04-17,41.761178,-87.576321,2,4.5
2011-04-17,41.760367,-87.571105,2,4.5
2011-04-18,41.785524,-87.619621,2,4.5
2011-04-18,41.767329,-87.613033,2,4.5
2011-04-18,41.759293,-87.603105,2,4.5
2011-04-18,41.776253,-87.594697,2,4.5
2011-04-18,41.760052,-87.561936,2,4.5
2011-04-18,41.752466,-87.558610,2,4.5
2011-04-19,41.842707,-87.646249,2,4.5
2011-04-19,41.814092,-87.633356,2,4.5
2011-04-19,41.769428,-87.628128,2,4.5
2011-04-19,41.797379,-87.622684,2,4.5
2011-04-19,41.801674,-87.616286,2,4.5
2011-04-19,41.805882,-87.614279,2,4.5
2011-04-19,41.830812,-87.614626,2,4.5
2011-04-19,41.803248,-87.608236,2,4.5
2011-04-19,41.808234,-87.596955,2,4.5
2011-04-19,41.769278,-87.574084,2,4.5
2011-04-19,41.762048,-87.569929,2,4.5
2011-04-19,41.762048,-87.569929,2,4.5
2011-04-19,41.768185,-87.567421,2,4.5
2011-04-19,41.767982,-87.566637,2,4.5
2011-04-19,41.759403,-87.558358,2,4.5
2011-04-20,41.796175,-87.630399,2,4.5
2011-04-20,41.784697,-87.614294,2,4.5
2011-04-20,41.777972,-87.593161,2,4.5
2011-04-20,41.771199,-87.591269,2,4.5
2011-04-20,41.751788,-87.570091,2,4.5
2011-04-20,41.763031,-87.567821,2,4.5
2011-04-21,41.764689,-87.633279,2,4.5
2011-04-21,41.813800,-87.632450,2,4.5
2011-04-21,41.767533,-87.620482,2,4.5
2011-04-21,41.808447,-87.619721,2,4.5
2011-04-21,41.791042,-87.616990,2,4.5
2011-04-21,41.792211,-87.619011,2,4.5
2011-04-21,41.783437,-87.610732,2,4.5
2011-04-21,41.811157,-87.594382,2,4.5
2011-04-21,41.775054,-87.587791,2,4.5
2011-04-21,41.763453,-87.566321,2,4.5
2011-04-22,41.755872,-87.628104,2,4.5
2011-04-22,41.778202,-87.606026,2,4.5
2011-04-22,41.771622,-87.584271,2,4.5
2011-04-22,41.759351,-87.568955,2,4.5
2011-04-23,41.818956,-87.634909,2,4.5
2011-04-23,41.791042,-87.616990,2,4.5
2011-04-23,41.784381,-87.614580,2,4.5
2011-04-23,41.755177,-87.610031,2,4.5
2011-04-23,41.807090,-87.612473,2,4.5
2011-04-23,41.776539,-87.602051,2,4.5
2011-04-23,41.797880,-87.596088,2,4.5
2011-04-23,41.798687,-87.591618,2,4.5
2011-04-23,41.764185,-87.580222,2,4.5
2011-04-23,41.758063,-87.565287,2,4.5
2011-04-23,41.766299,-87.562652,2,4.5
2011-04-24,41.799868,-87.633673,2,4.5
2011-04-24,41.807085,-87.633167,2,4.5
2011-04-24,41.756115,-87.626471,2,4.5
2011-04-24,41.788004,-87.619199,2,4.5
2011-04-24,41.808735,-87.619724,2,4.5
2011-04-24,41.826594,-87.621811,2,4.5
2011-04-24,41.785804,-87.616230,2,4.5
2011-04-24,41.783173,-87.614628,2,4.5
2011-04-24,41.781340,-87.612192,2,4.5
2011-04-24,41.773931,-87.608103,2,4.5
2011-04-24,41.761532,-87.597099,2,4.5
2011-04-24,41.770893,-87.571692,2,4.5
2011-04-25,41.751718,-87.626705,2,4.5
2011-04-25,41.791652,-87.622532,2,4.5
2011-04-25,41.761401,-87.621746,2,4.5
2011-04-25,41.788032,-87.617286,2,4.5
2011-04-25,41.781737,-87.615517,2,4.5
2011-04-25,41.784381,-87.614580,2,4.5
2011-04-25,41.774119,-87.611738,2,4.5
2011-04-25,41.784006,-87.591568,2,4.5
2011-04-25,41.804919,-87.591748,2,4.5
2011-04-25,41.765493,-87.583518,2,4.5
2011-04-25,41.771286,-87.577819,2,4.5
2011-04-25,41.764753,-87.571204,2,4.5
2011-04-25,41.766949,-87.569636,2,4.5
2011-04-25,41.767949,-87.567888,2,4.5
2011-04-25,41.761665,-87.563502,2,4.5
2011-04-25,41.761835,-87.560123,2,4.5
2011-04-26,41.755349,-87.623240,2,4.5
2011-04-26,41.790964,-87.621442,2,4.5
2011-04-26,41.797514,-87.619447,2,4.5
2011-04-26,41.767163,-87.615450,2,4.5
2011-04-26,41.774602,-87.610528,2,4.5
2011-04-26,41.800087,-87.589212,2,4.5
2011-04-26,41.752067,-87.577370,2,4.5
2011-04-26,41.765087,-87.561800,2,4.5
2011-04-27,41.840526,-87.654550,2,4.5
2011-04-27,41.826644,-87.643715,2,4.5
2011-04-27,41.819775,-87.599940,2,4.5
2011-04-27,41.779614,-87.594487,2,4.5
2011-04-27,41.773271,-87.582529,2,4.5
2011-04-27,41.763065,-87.579153,2,4.5
2011-04-27,41.765919,-87.570300,2,4.5
2011-04-27,41.759989,-87.563632,2,4.5
2011-04-28,41.828474,-87.643468,2,4.5
2011-04-28,41.792462,-87.622552,2,4.5
2011-04-28,41.766156,-87.621841,2,4.5
2011-04-28,41.794855,-87.619711,2,4.5
2011-04-28,41.827963,-87.621836,2,4.5
2011-04-28,41.791052,-87.616774,2,4.5
2011-04-28,41.830812,-87.614626,2,4.5
2011-04-28,41.809732,-87.598148,2,4.5
2011-04-28,41.765304,-87.581699,2,4.5
2011-04-28,41.752136,-87.576144,2,4.5
2011-04-28,41.767601,-87.572529,2,4.5
2011-04-28,41.763451,-87.566621,2,4.5
2011-04-28,41.768185,-87.567421,2,4.5
2011-04-28,41.760731,-87.563073,2,4.5
2011-04-28,41.760731,-87.563073,2,4.5
2011-04-28,41.753877,-87.553679,2,4.5
2011-04-28,41.756010,-87.552194,2,4.5
2011-04-29,41.839018,-87.655112,2,4.5
2011-04-29,41.846728,-87.647217,2,4.5
2011-04-29,41.751910,-87.622870,2,4.5
2011-04-29,41.791481,-87.617367,2,4.5
2011-04-29,41.775397,-87.594677,2,4.5
2011-04-29,41.765006,-87.583501,2,4.5
2011-04-29,41.759949,-87.577236,2,4.5
2011-04-29,41.768817,-87.576233,2,4.5
2011-04-29,41.757904,-87.557262,2,4.5
2011-04-30,41.819274,-87.622956,2,4.5
2011-04-30,41.774173,-87.621665,2,4.5
2011-04-30,41.762658,-87.614132,2,4.5
2011-04-30,41.757504,-87.604267,2,4.5
2011-04-30,41.781118,-87.594513,2,4.5
2011-04-30,41.756505,-87.565261,2,4.5
2011-05-01,41.811403,-87.622747,2,4.5
2011-05-01,41.788194,-87.617288,2,4.5
2011-05-01,41.781500,-87.614287,2,4.5
2011-05-01,41.761874,-87.604080,2,4.5
2011-05-01,41.775606,-87.604750,2,4.5
2011-05-01,41.775810,-87.593117,2,4.5
2011-05-01,41.764091,-87.589821,2,4.5
2011-05-01,41.790587,-87.590377,2,4.5
2011-05-01,41.760329,-87.571406,2,4.5
2011-05-02,41.808854,-87.622675,2,4.5
2011-05-02,41.761249,-87.621456,2,4.5
2011-05-02,41.813706,-87.621482,2,4.5
2011-05-02,41.760652,-87.610167,2,4.5
2011-05-02,41.765939,-87.610289,2,4.5
